"DISTRICTE","DATA_ENQ","TMP_RES_BCN_1A6","RES_HAB","PADRO","SEXE","EDAT1574_1A6","NACIO_ACT_UE","NACIO_CANVI","NACIO_ABANS_UE","NACIO_EVO","SITLABORAL_1A9","PROB01_PERS_SOCIAL","PROB02_PERS_SOCIAL","PROB01_PERS_SOCIAL_N1","PROB02_PERS_SOCIAL_N1","IMP_PERS_FAM_1A4","IMP_PERS_AMIC_1A4","IMP_PERS_TEMPS_1A4","IMP_PERS_POLITICA_1A4","IMP_PERS_FEINA_1A4","IMP_PERS_RELIGIO_1A4","IMP_PERS_ECON_1A4","IMP_PERS_ESTUDIAR_1A4","IMP_PERS_DESENV_1A4","SATISF_PERS_1A10","SATISF_PERS_1A4","SATISF_PERS_FAM_1A10","SATISF_PERS_AMIC_1A10","SATISF_PERS_TEMPS_1A10","SATISF_PERS_FEINA_1A10","SATISF_PERS_ECON_1A10","SATISF_PERS_ESTUDIAR_1A10","SATISF_PERS_DESENV_1A10","SATISF_PERS_FAM_1A4","SATISF_PERS_AMIC_1A4","SATISF_PERS_TEMPS_1A4","SATISF_PERS_FEINA_1A4","SATISF_PERS_ECON_1A4","SATISF_PERS_ESTUDIAR_1A4","SATISF_PERS_DESENV_1A4","MOT_ESTUDIAR_1A7","IMP01_FEINA_1A9","IMP02_FEINA_1A9","TE_FILLS_1A2","IMP01_FILLS_INCULCAR_1A10","IMP02_FILLS_INCULCAR_1A10","ACORD_CONCIL_Q01_1A4","ACORD_CONCIL_Q02_1A4","ACORD_CONCIL_Q03_1A4","ACORD_CONCIL_Q04_1A4","ACORD_CONCIL_Q05_1A4","ACORD_SOCIAL_Q06_1A4","QUI_RESPONSAB_DONES_1A10","QUI_RESPONSAB_HOMES_1A10","QUI_RESPONSAB_SVPUB_1A10","QUI_RESPONSAB_SVPRIV_1A10","QUI_RESPONSAB_SVCOM_1A10","QUI_RESPONSAB_DONES_1A4","QUI_RESPONSAB_HOMES_1A4","QUI_RESPONSAB_SVPUB_1A4","QUI_RESPONSAB_SVPRIV_1A4","QUI_RESPONSAB_SVCOM_1A4","IMP01_ESTAT_1A4","IMP02_ESTAT_1A4","PRIO_ESTAT_TIPUS_1A2","PRIO01_ESTAT_VALORS_1A4","PRIO02_ESTAT_VALORS_1A4","ACORD_SOCIETAT_JUSTIFICAR_Q01_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q02_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q03_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q04_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q05_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q06_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q07_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q08_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q09_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q10_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q11_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q12_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q13_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q14_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q15_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q16_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q17_1A3","ACORD_SOCIETAT_CONCEPT_Q01_1A3","ACORD_SOCIETAT_CONCEPT_Q02_1A3","ACORD_SOCIETAT_CONCEPT_Q03_1A3","ACORD_SOCIETAT_CONCEPT_Q04_1A3","ACORD_SOCIETAT_CONCEPT_Q05_1A3","ACORD_SOCIETAT_CONCEPT_Q06_1A3","ACORD_SOCIETAT_CONCEPT_Q07_1A3","ACORD_SOCIETAT_CONCEPT_Q08_1A3","ACORD_SOCIETAT_CONCEPT_Q09_1A3","ACORD_SOCIETAT_CONCEPT_Q10_1A3","ACORD_SOCIETAT_CONCEPT_Q11_1A3","ACORD_SOCIETAT_ES_Q01_1A4","ACORD_SOCIETAT_ES_Q02_1A4","ACORD_SOCIETAT_ES_Q03_1A4","ACORD_SOCIETAT_ES_Q04_1A4","ACORD_SOCIETAT_ES_Q05_1A4","ACORD_SOCIETAT_ES_Q06_1A4","ACORD_SOCIETAT_ES_Q07_1A4","ACORD_SOCIETAT_ES_Q08_1A4","ACORD_SOCIETAT_ES_Q09_1A4","ACORD_SOCIETAT_ES_Q10_1A4","ACORD_SOCIETAT_ES_Q11_1A4","ACORD_SOCIETAT_ES_Q12_1A4","ACORD_SOCIETAT_ES_Q13_1A4","CONFIA_GENT_1A2","CONFIA_GRUP_Q01_1A4","CONFIA_GRUP_Q02_1A4","CONFIA_GRUP_Q03_1A4","CONFIA_GRUP_Q04_1A4","CONFIA_GRUP_Q05_1A4","CONFIA_GRUP_Q06_1A4","PRIO_ESTAT_POLITICA_MEDIAMB_1A2","ACORD_CANVICLIM_PROB_1A2","PRIO_CANVICLIM_1A4","ACORD_CIENCIA_Q01_1A10","ACORD_CIENCIA_Q02_1A10","ACORD_CIENCIA_Q03_1A10","ACORD_CIENCIA_Q01_1A4","ACORD_CIENCIA_Q02_1A4","ACORD_CIENCIA_Q03_1A4","IMPACTE_IMMIG_PAIS_1A10","IMPACTE_IMMIG_PAIS_1A4","ACORD_IMMIG_Q01_1A10","ACORD_IMMIG_Q02_1A10","ACORD_IMMIG_Q03_1A10","ACORD_IMMIG_Q04_1A10","ACORD_IMMIG_Q01_1A2","ACORD_IMMIG_Q02_1A2","ACORD_IMMIG_Q03_1A2","ACORD_IMMIG_Q04_1A2","ACORD_COSTUMS_PAIS_1A2","ACORD_COSTUMS_BARRI_1A2","SOCI_Q01_1A11","SOCI_Q02_1A11","SOCI_Q03_1A11","SOCI_Q04_1A11","SOCI_Q05_1A11","SOCI_Q06_1A11","SOCI_Q07_1A11","SOCI_Q08_1A11","SOCI_Q09_1A11","CONFIA_INSTITUCIO_Q01_1A4","CONFIA_INSTITUCIO_Q02_1A4","CONFIA_INSTITUCIO_Q03_1A4","CONFIA_INSTITUCIO_Q04_1A4","CONFIA_INSTITUCIO_Q05_1A4","CONFIA_INSTITUCIO_Q06_1A4","CONFIA_INSTITUCIO_Q07_1A4","CONFIA_INSTITUCIO_Q08_1A4","CONFIA_INSTITUCIO_Q09_1A4","CONFIA_INSTITUCIO_Q10_1A4","CONFIA_INSTITUCIO_Q11_1A4","CONFIA_INSTITUCIO_Q12_1A4","CONFIA_INSTITUCIO_Q13_1A4","CONFIA_INSTITUCIO_Q14_1A4","CONFIA_INSTITUCIO_Q15_1A4","CONFIA_INSTITUCIO_Q16_1A4","CONFIA_INSTITUCIO_Q17_1A4","CONFIA_INSTITUCIO_Q18_1A4","CONFIA_INSTITUCIO_Q19_1A4","INTERES_POLITICA_1A4","INTERES_POLITICA_1A2","ACORD_DEMOCRACIA_1A3","US_ACCIOPOLITICA_Q01_1A3","US_ACCIOPOLITICA_Q02_1A3","US_ACCIOPOLITICA_Q03_1A3","US_ACCIOPOLITICA_Q04_1A3","US_ACCIOPOLITICA_Q05_1A3","IDEO_1A8","IDEO_PARE_1A8","IDEO_MARE_1A8","SENTPERTI_1A5","SENTPERTI_PARE_1A5","SENTPERTI_MARE_1A5","SENTPERTI_BARRI_1A4","SENTPERTI_BCN_1A4","SENTPERTI_CAT_1A4","SENTPERTI_ESP_1A4","SENTPERTI_EU_1A4","SENTPERTI_MON_1A4","SENTPERTI_BARRI_1A2","SENTPERTI_BCN_1A2","SENTPERTI_CAT_1A2","SENTPERTI_ESP_1A2","SENTPERTI_EU_1A2","SENTPERTI_MON_1A2","IDEO_PARTIT","FREQ_CONSULTA_PREMSA_1A5","CONSULTA_DIARI_Q01","CONSULTA_DIARI_Q01_N1","RELIGIO","PRIO_SITEMERG_Q01_1A2","PRIO_SITEMERG_Q02_1A2","PRIO_SITEMERG_Q03_1A2","ACORD_SITEMERG_PASSCV_ACCES_Q01_1A3","ACORD_SITEMERG_PASSCV_ACCES_Q02_1A3","ACORD_SITEMERG_PASSCV_ACCES_Q03_1A3","ACORD_SITEMERG_PASSCV_ACCES_Q04_1A3","ACORD_SITEMERG_PASSCV_ACCES_Q05_1A3","HAB_RES_1A4","SITPERSONAL_1A4","LLOC_NAIX_1A4","PAIS_EST_NAIX_UE","LLOC_NAIX_MARE_1A4","PAIS_EST_NAIX_MARE_UE","LLOC_NAIX_PARE_1A4","PAIS_EST_NAIX_PARE_UE","LLENGUA_HAB_1A2","ESTUDIS_1A6","PROF_ACT_A","PROF_ACT_B","PROF_ACT","PROF_ABANS_A","PROF_ABANS_B","PROF_ABANS_C","PROF_ABANS","RESUM_PARENTIU","PMI_SOL_1A2","PMI_1A2","NOENT_ESTUDIS_1A6","NOENT_SITLABORAL_1A9","NOENT_PROF_ACT_A","NOENT_PROF_ACT_B","NOENT_PROF_ACT","NOENT_PROF_ABANS_A","NOENT_PROF_ABANS_B","NOENT_PROF_ABANS_C","NOENT_PROF_ABANS","PMI_ESTUDIS_1A6","PMI_SITLABORAL_1A9","PMI_PROF_ACT_A","PMI_PROF_ACT_B","PMI_PROF_ACT","PMI_PROF_ABANS_A","PMI_PROF_ABANS_B","PMI_PROF_ABANS_C","PMI_PROF_ABANS","PMI_PROF","CLASSESOC_ENT_1A5","NIVELLSOCIO_LLAR","TIPO_ENTLLAR","EIX_PRO_CON","PES"
1,2021-12-09,3,1,2,1,3,1,2,3,3,1,504,3900,5,39,2,3,1,2,2,4,2,2,1,5,2,8,5,5,8,3,5,7,3,2,2,3,1,2,3,3,2,8,2,3,10,3,2,2,3,4,4,5,5,7,5,4,2,2,3,2,1,1,4,1,2,3,3,2,3,3,3,2,2,2,3,2,1,2,1,3,3,3,3,3,2,2,2,1,1,1,1,1,2,2,3,3,1,3,2,1,3,2,3,2,3,2,3,2,2,3,3,4,3,3,1,1,2,8,10,6,3,4,2,5,2,2,3,3,4,1,2,2,2,2,2,97,,,,,,,,,4,4,3,3,4,4,4,3,2,3,3,3,3,3,2,2,3,4,2,2,1,1,1,3,1,2,2,4,5,5,98,3,95,3,3,4,3,3,1,2,2,2,2,2,1,97,1,101,1,7,1,1,1,2,2,2,1,2,1,1,4,3,4,3,1,,2,3,3,,1,,,,,1,1,1,,,,,,,,,,3,1,3,,1,,,,,1,3,1,10,3,1
3,2021-12-10,3,1,1,1,4,3,,,6,3,3152,,31,,1,3,4,4,1,3,2,1,1,8,3,5,6,7,9,8,8,9,2,2,3,4,3,3,4,4,2,9,1,1,3,1,4,4,3,4,4,9,6,9,10,10,4,2,4,4,4,4,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,2,2,1,1,2,1,2,2,3,3,2,3,3,2,3,3,3,2,3,2,3,2,2,4,4,4,4,4,2,2,1,5,3,10,2,1,4,9,4,1,2,3,4,1,1,2,2,2,2,97,,,,,,,,,3,3,3,3,3,3,3,3,3,3,1,3,1,1,1,3,3,3,3,4,2,1,2,3,3,3,1,8,8,8,98,98,98,2,1,2,2,3,3,1,1,1,1,2,2,97,2,795,7,2,1,1,2,2,2,2,2,2,4,1,4,3,4,3,4,3,2,4,,5,5,,,,,8,,1,,,,,,,,,,4,3,,5,5,,,,,5,3,2,4,4,1
2,2021-12-10,4,1,1,1,2,1,1,,1,1,2370,500,23,5,1,1,2,1,1,3,3,2,2,10,4,9,10,7,6,4,7,6,4,4,3,2,1,3,2,4,6,2,2,1,3,4,1,3,4,4,4,5,5,10,1,10,2,2,4,1,4,2,1,1,2,1,3,3,3,2,3,2,3,1,3,3,1,2,1,3,3,3,3,2,1,2,1,1,1,1,1,1,2,2,3,2,1,3,2,2,3,2,2,1,1,1,3,1,1,2,1,2,2,2,1,1,1,10,10,7,4,4,3,10,4,1,1,4,3,1,1,2,2,2,98,97,,,,,,,,,4,3,2,3,3,3,3,3,3,2,3,3,3,1,3,2,1,3,3,1,1,1,1,1,1,1,2,2,5,4,95,4,4,2,1,1,4,1,1,1,1,1,2,1,1,2,1,301,3,95,1,2,1,3,3,1,1,1,2,2,3,,3,,3,,2,5,1,,2,,,,,2,,1,,,,,,,,,,5,1,1,,2,,,,,2,2,1,10,1,1
2,2021-12-14,5,1,1,1,5,1,1,,1,5,3400,500,34,5,1,1,2,4,1,3,1,2,1,9,4,9,9,9,98,9,9,9,4,4,4,99,4,4,4,3,96,,2,1,6,3,3,4,3,2,4,7,8,9,9,9,3,3,4,4,4,1,3,1,2,3,3,2,1,3,1,3,3,3,3,3,1,3,1,1,3,3,3,3,1,3,3,1,1,1,1,1,3,2,3,2,2,2,3,2,3,2,3,2,2,2,2,2,1,1,1,3,3,3,1,1,1,7,10,7,3,4,3,7,3,2,2,2,2,1,1,1,1,2,2,97,,,,,,,,,4,1,2,3,4,4,4,2,3,2,1,3,4,4,1,2,2,4,2,4,2,3,2,3,3,3,2,6,98,98,1,5,1,3,3,4,3,3,3,2,2,2,2,2,2,97,3,104,1,2,2,1,1,1,1,1,1,1,2,2,4,3,1,,1,,2,3,,,,2,,4,4,2,,2,3,5,,,,2,,6,6,3,5,,,,2,,6,6,6,3,2,7,5,1
8,2021-12-07,6,1,1,2,6,1,1,,1,5,3700,100,37,1,1,2,2,98,1,3,3,2,1,10,4,10,10,8,10,5,10,10,4,4,3,4,2,4,4,1,7,6,1,1,8,2,2,4,2,98,2,5,5,10,1,5,2,2,4,1,2,4,3,98,1,3,3,3,3,3,2,3,2,2,3,3,1,99,2,3,3,3,3,3,1,3,1,3,3,3,3,1,2,2,4,3,1,2,2,2,4,2,3,1,3,3,3,1,2,3,2,3,4,2,2,1,1,8,8,10,3,3,4,9,4,1,2,4,2,1,1,2,1,2,2,97,,,,,,,,,4,4,3,4,4,4,4,3,4,3,4,3,4,4,3,3,4,4,4,1,1,1,1,3,1,1,1,4,2,2,3,4,4,2,1,1,2,2,2,1,1,1,1,1,1,1,1,101,1,2,1,1,1,1,1,1,1,1,3,4,1,,2,,3,,2,3,,,,2,,5,5,3,,1,,,,,,,,,,3,5,,,,2,,5,5,5,4,2,6,3,1
8,2021-11-19,5,1,1,1,4,1,2,3,3,3,3900,100,39,1,1,2,2,1,1,1,2,1,1,9,4,10,9,8,9,7,9,9,4,4,3,4,3,4,4,4,4,3,1,8,6,1,4,4,1,4,4,9,9,9,98,98,4,4,4,99,99,3,1,2,2,4,3,3,3,3,3,3,3,3,3,3,98,98,98,98,3,3,3,98,98,2,1,1,98,1,98,98,98,2,2,2,4,2,2,98,2,98,2,4,98,3,98,2,1,2,2,4,3,3,1,1,2,9,9,9,4,4,4,9,4,2,1,3,4,1,1,2,2,2,2,97,,,,,,,,,98,1,1,98,2,2,98,2,2,2,1,2,2,1,98,98,2,3,3,2,1,1,2,98,3,3,2,98,98,98,3,98,98,1,1,1,1,2,1,1,1,1,1,1,1,99,3,112,1,2,1,98,1,1,1,1,1,1,3,1,4,3,4,3,4,3,2,5,,5,5,,,,,4,,1,,,,,,,,,,5,3,,5,5,,,,,5,1,2,7,4,1
3,2021-11-26,5,1,2,2,4,1,1,,1,1,500,100,5,1,1,1,1,2,1,4,2,1,1,9,4,10,10,8,10,7,10,10,4,4,3,4,3,4,4,1,5,3,2,7,5,2,2,4,2,3,3,1,1,8,1,6,1,1,3,1,2,4,2,1,1,2,2,2,2,2,3,2,2,2,3,3,1,1,1,3,3,2,3,3,1,1,3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,3,2,2,1,1,1,10,10,10,4,4,4,10,4,2,1,4,4,1,1,2,2,2,2,97,,,,,,,,,3,4,1,3,3,3,3,3,1,1,3,3,3,1,1,1,3,3,3,2,1,1,1,1,1,1,1,2,4,4,3,1,1,2,2,2,2,2,2,1,1,1,1,1,1,97,2,102,1,7,1,1,1,1,1,1,1,1,1,1,1,,3,,3,,2,3,1,,2,,,,,1,1,1,,,,,,,,,,3,1,1,,2,,,,,2,4,2,8,1,1
6,2021-12-15,3,1,2,1,1,2,,,5,8,2120,220,21,2,1,1,1,1,1,4,1,1,1,5,2,4,7,5,4,8,4,3,1,3,2,1,3,1,1,3,2,1,2,3,1,4,1,4,3,4,4,5,5,5,5,2,2,2,2,2,1,2,4,1,2,3,3,1,3,2,3,2,2,2,2,3,1,2,2,3,3,2,3,2,2,3,1,1,1,1,1,1,2,2,4,2,1,3,1,1,3,1,3,1,3,2,2,2,2,1,1,3,2,2,2,1,2,6,6,3,2,2,1,10,4,2,2,4,2,1,1,2,1,2,2,97,,,,,,,,,4,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,4,3,3,2,1,1,2,1,2,2,2,4,4,1,1,1,3,3,2,3,3,3,2,2,1,2,2,2,2,2,106,1,7,1,2,1,2,2,2,2,2,2,1,3,,4,3,4,2,2,3,,,,,,,,8,,1,,,,,,,,,,3,8,,,,,,,,96,2,2,4,2,1
4,2021-12-15,4,1,1,1,3,1,1,,1,3,500,,5,,1,2,1,2,2,3,2,2,1,8,3,9,8,7,8,8,9,8,4,3,3,3,3,4,3,4,2,4,1,3,6,3,2,3,3,3,4,6,6,4,2,2,2,2,1,1,1,1,3,2,1,3,3,3,3,3,1,3,3,3,3,3,2,2,2,2,3,3,3,1,1,2,2,1,1,1,1,1,3,2,2,2,1,3,2,3,3,3,3,1,2,3,2,2,1,3,2,3,2,2,1,1,1,10,10,1,4,4,1,8,3,1,2,2,3,1,1,1,2,2,2,97,,,,,,,,,2,2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,2,1,1,3,2,2,2,5,5,3,3,3,3,2,2,2,2,2,3,1,1,1,1,1,2,97,3,102,1,2,1,1,1,1,1,1,1,1,3,2,3,,3,,3,,1,6,,3,3,,,,,3,,2,6,3,,3,3,,,,,6,3,,3,3,,,,,3,2,2,7,4,1
6,2021-12-13,5,1,1,1,4,1,1,,1,1,2200,7600,22,76,1,1,1,3,1,4,1,1,1,8,3,7,7,8,7,4,7,8,3,3,3,3,1,3,3,3,5,4,2,6,10,2,1,3,3,4,4,5,5,7,6,6,2,2,3,2,2,3,4,2,2,3,3,2,3,2,2,3,2,3,3,3,1,2,1,3,3,3,3,1,1,2,3,1,1,1,1,1,2,2,3,2,2,3,3,2,3,2,3,2,2,2,3,2,1,2,2,3,2,2,2,1,2,9,9,4,4,4,1,7,3,2,1,3,3,1,1,2,2,2,2,2,7,,,,,,,,4,3,2,3,3,3,3,3,3,2,2,3,3,3,1,2,3,3,3,4,2,1,1,3,1,2,2,3,6,4,3,2,3,2,2,2,2,1,2,1,1,1,1,1,1,1,1,103,1,7,1,1,1,1,1,1,1,1,2,2,3,,3,,3,,2,6,1,,2,,,,,2,,1,,,,,,,,,,6,1,1,,2,,,,,2,2,1,10,3,1
4,2021-12-16,6,1,1,2,5,1,1,,1,3,3710,2200,37,22,1,3,1,2,1,4,2,1,2,7,3,8,7,7,7,7,6,7,3,3,3,3,3,2,3,1,2,5,1,3,10,3,2,3,2,4,4,5,5,8,8,8,2,2,3,3,3,2,3,1,1,2,3,3,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3,1,1,1,1,1,1,1,1,1,2,1,3,3,3,2,1,2,1,2,2,2,2,2,1,2,1,2,2,3,2,2,1,1,1,7,7,4,3,3,1,8,3,2,1,3,3,1,1,2,2,2,2,97,,,,,,,,,3,3,2,3,3,3,3,3,2,2,1,3,2,3,3,2,3,3,3,2,1,1,1,3,1,1,2,2,2,2,4,4,4,2,3,2,3,3,2,1,2,1,2,2,1,2,1,103,1,7,1,1,1,1,3,1,1,3,3,3,1,,1,,1,,1,3,,4,4,,,,,3,,1,,,,,,,,,,3,3,,4,4,,,,,4,3,2,8,2,1
10,2021-12-03,2,1,1,2,1,3,,,6,3,2230,2350,22,23,1,2,1,4,2,4,2,1,1,8,3,9,7,10,10,8,7,8,4,3,4,4,3,3,3,2,4,7,2,3,6,1,1,3,1,1,3,8,8,10,10,10,3,3,4,4,4,4,1,1,2,1,3,3,3,3,1,3,1,2,3,2,2,3,2,2,3,3,3,1,1,2,3,1,1,1,1,1,3,2,2,3,2,2,3,2,3,1,2,1,3,1,2,2,1,2,2,4,4,2,1,1,1,7,5,6,3,2,2,5,2,1,2,4,2,1,1,2,1,2,2,2,,,,,,,,,4,4,3,4,4,4,4,4,4,2,4,4,4,3,4,98,4,4,4,4,2,3,3,3,2,2,3,98,97,98,99,97,95,3,2,2,2,2,1,2,1,1,1,1,1,97,5,,,7,1,2,1,2,2,2,2,2,3,2,4,3,4,3,97,,2,6,,5,5,,,,,7,,1,,,,,,,,,,6,3,,5,5,,,,,5,5,2,5,4,1
10,2021-12-03,5,1,1,1,5,1,2,3,3,6,100,2200,1,22,1,1,1,4,1,1,3,1,1,10,4,9,9,10,5,8,9,9,4,4,4,2,3,4,4,3,4,3,1,8,1,1,3,3,1,1,4,10,10,10,10,10,4,4,4,4,4,3,4,1,2,1,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,2,1,2,1,1,1,1,1,1,2,2,1,1,3,1,1,3,2,1,3,1,2,1,1,2,1,3,1,3,3,2,1,1,1,5,6,8,2,2,3,6,2,1,3,3,1,1,2,2,1,2,2,97,,,,,,,,,3,3,1,3,3,3,3,1,98,1,1,3,1,1,1,1,3,3,3,4,2,1,3,3,3,3,2,8,7,98,1,95,95,1,1,1,1,1,1,1,1,1,1,1,1,97,1,101,1,3,1,2,2,2,2,2,2,2,3,3,4,3,4,3,4,3,2,3,,,,2,,5,5,8,,1,,,,,,,,,,3,6,,,,2,,5,5,5,3,2,7,3,1
9,2021-12-21,6,1,1,1,5,1,1,,1,3,503,110,5,1,1,1,1,1,1,4,2,1,1,7,3,9,9,8,7,6,8,9,4,4,3,3,2,3,4,1,5,1,1,3,1,3,3,4,4,3,4,5,5,5,5,3,2,2,2,2,1,3,2,1,2,1,3,3,3,2,2,2,2,1,1,3,1,1,1,3,3,3,3,1,3,3,2,1,1,1,1,1,2,2,3,2,1,3,1,1,3,1,3,1,3,1,3,2,1,2,1,3,2,2,1,1,1,10,10,8,4,4,3,10,4,1,1,3,3,1,1,2,2,2,1,97,,,,,,,,,4,4,3,4,4,4,3,3,2,3,4,3,2,2,2,3,2,3,3,3,2,1,1,3,1,1,1,2,6,6,3,2,2,3,2,1,1,1,2,2,1,1,1,1,1,1,1,105,1,7,1,1,1,1,1,2,1,2,3,2,1,,3,,3,,2,5,,3,3,,,,,3,,1,,,,,,,,,,5,3,,3,3,,,,,3,4,2,7,1,1
5,2021-11-19,6,1,1,2,4,1,1,,1,3,500,2350,5,23,2,2,2,3,2,3,3,2,2,8,3,8,7,7,9,9,10,8,3,3,3,4,4,4,3,2,4,9,1,3,7,4,2,4,4,3,3,7,7,5,1,3,3,3,2,1,1,2,4,1,2,4,3,2,2,2,1,2,2,2,3,3,1,98,2,3,3,3,3,1,1,2,1,1,1,3,1,1,2,2,98,3,2,3,2,2,3,2,3,2,2,2,3,1,1,2,2,2,2,2,1,1,2,9,5,3,4,2,1,7,3,1,3,3,3,1,2,2,2,2,2,8,3,5,,,,,,,4,4,3,4,4,4,3,4,3,2,4,4,3,3,3,4,3,4,4,3,2,1,1,1,1,1,1,2,3,4,5,5,5,3,2,2,3,3,3,2,1,1,2,2,2,99,1,110,1,7,1,99,99,1,1,1,1,2,4,2,1,,1,,2,,1,6,,3,3,,,,,3,,1,,,,,,,,,,6,3,,3,3,,,,,3,99,2,8,1,1
8,2021-11-30,6,1,1,2,5,1,1,,1,5,2300,2295,23,22,1,1,3,2,1,3,2,1,2,7,3,7,8,10,7,7,7,8,3,3,4,3,3,3,3,2,7,4,1,6,2,3,2,2,3,3,3,6,5,7,5,6,2,2,3,2,2,2,3,1,2,1,1,1,1,3,3,3,1,2,3,3,2,1,1,2,3,3,3,2,1,1,1,1,1,1,1,1,3,2,2,2,2,3,3,2,3,2,3,2,2,1,3,2,2,3,2,3,98,98,1,1,1,7,8,7,3,3,3,6,2,2,2,3,2,1,1,2,1,2,2,97,,,,,,,,,4,4,2,3,4,4,3,3,4,3,3,3,3,3,1,3,2,3,3,3,2,1,1,2,1,1,1,2,2,2,4,4,4,2,2,2,3,2,2,1,1,1,2,1,1,2,1,104,1,7,1,1,1,1,1,1,1,1,2,2,1,,1,,1,,1,4,,,,2,,6,6,2,,1,,,,,,,,,,4,5,,,,2,,6,6,6,4,2,8,3,1
6,2021-12-22,5,1,1,2,5,1,1,,1,1,500,7600,5,76,3,1,1,2,3,4,3,2,1,6,2,5,7,6,6,5,7,5,2,3,2,2,2,3,2,2,5,3,1,3,1,3,1,3,3,4,4,5,5,4,1,5,2,2,1,1,2,4,2,1,1,2,3,1,3,1,3,2,3,1,1,1,1,1,1,3,3,3,3,2,1,1,2,1,1,1,1,1,2,2,3,3,1,3,2,2,4,2,3,1,3,2,3,2,3,3,3,3,3,3,1,1,1,10,10,2,4,4,1,10,4,2,1,4,4,1,1,2,2,2,2,97,,,,,,,,,4,4,2,3,4,4,3,4,4,3,3,3,3,2,3,3,3,4,3,2,1,1,1,1,1,1,1,1,4,6,98,1,1,2,2,3,3,2,1,1,1,2,2,1,1,4,4,,,7,1,2,1,1,1,1,1,1,3,3,3,,3,,3,,2,5,1,,2,,,,,4,,1,,,,,,,,,,5,1,1,,2,,,,,2,3,1,11,1,1
10,2021-11-25,5,1,1,1,5,1,1,,1,1,2320,3200,23,32,1,1,2,1,1,4,2,1,1,7,3,6,6,2,8,4,10,7,2,2,1,3,1,4,3,2,2,5,1,8,6,3,2,4,4,2,4,5,5,5,5,5,2,2,2,2,2,1,2,2,3,1,3,3,3,3,2,3,3,3,3,2,2,3,2,3,3,3,3,98,1,2,2,1,1,1,1,1,2,2,3,3,1,2,2,2,3,3,3,2,3,2,3,2,1,2,1,2,2,2,1,1,1,10,10,8,4,4,3,6,2,2,2,3,3,1,1,2,2,2,2,8,,,,,,,,,4,1,1,2,3,3,3,3,3,1,1,2,2,1,1,3,2,3,4,1,1,1,1,3,1,1,1,3,6,6,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,101,1,2,1,1,1,1,1,1,1,1,1,4,3,,3,,2,,2,5,1,,2,,,,,1,1,1,,,,,,,,,,5,1,1,,2,,,,,2,2,1,10,4,1
10,2021-12-03,6,1,1,1,1,1,1,,1,8,9998,,98,,1,1,2,4,1,2,1,1,2,10,4,10,5,10,98,10,4,98,4,2,4,99,4,1,99,6,1,2,2,1,8,2,3,3,3,2,4,5,5,10,10,98,2,2,4,4,99,4,1,2,1,3,1,2,1,98,3,3,2,3,3,3,2,3,3,2,3,3,3,98,98,98,98,1,98,1,1,1,2,98,3,2,2,3,3,1,3,2,3,1,3,2,3,2,1,4,3,4,3,4,1,2,2,1,98,8,1,99,3,5,2,3,3,1,2,2,2,1,1,1,1,97,,,,,,,,,1,2,1,1,1,3,98,98,98,1,1,3,3,3,98,98,3,1,4,4,2,3,2,98,2,2,3,98,98,98,3,3,3,2,1,3,1,98,3,1,1,2,1,99,2,97,5,,,3,1,1,1,2,2,2,2,2,4,1,1,,1,,1,,2,1,,,,,,,,4,,2,2,6,,,,2,,5,5,2,6,,,,2,,5,5,5,98,3,2,5,1
